Row ID ,Comment,Aspect Ranks,,,,,,,Aspects,,,,,,,Sentiment
222,I think in the class there should be equality with listening and other session we more focusing on speaking than other,4,4,3,5,4,4,0,0,0,0,0,0,0,1,2
235,It gets over burdened sometime.,4,5,4,5,4,5,0,0,0,0,0,0,0,0,3
239,in 1st semester it was a boring class but now its gradually becoming an interesting class to participate and there should be some activities which enhance us for speaking. on the other hand every thing is quite good.,4,5,5,4,5,5,0,0,0,1,0,0,0,1,4
240,"For God sake remove the novels from our course. We have no enough time to complete our 6 hours sleep. So how can we read two novel in 3 weeks with comparative analysis, that why I hate English now. what non sense.",3,5,3,4,4,4,0,0,0,1,1,0,0,0,1
242,Understanding between him and student should be improved.,5,5,5,5,5,5,0,0,0,0,0,0,0,1,2
243,Although all the aspect of this module are good but time should be increases for novels reading and I am facing much trouble to read them ad due to hard work I had fell in fever. if time is increased for novel reading then it will be so helpful for me to concentrate on all the aspect of reading.,5,5,4,5,5,5,0,0,0,0,0,0,0,0,4
273,"The class is too much boring, extreme boring. I have noticed about 9 student sleeping and drowsing during class. Moreover sir use English and not clear sentences due to which we can't understand any thing.
  He gives us reading about 75 Pages which complex example which in this schedule is impossible to read.",1,5,2,3,1,2,0,0,0,1,0,0,0,1,1
280,not sure,3,5,5,4,4,5,0,0,0,0,0,0,0,0,3
283,Classes must be on regular bases because in this way we do not forget about what we read and we also have some questions which we forget .Reading work is also so much.,1,5,4,5,5,4,0,0,0,0,0,0,0,0,2
291,I think one particular thing sir should do is to meet all students on individual level so that he could understand them more.,3,5,5,5,4,5,0,0,1,0,0,0,0,1,4
294,please speak slow,3,5,4,4,3,4,0,0,0,0,0,0,0,1,3
315,actually sir is awesome but the problem is that we understand everything perfectly but we don't have enough time to practice it and make our concepts brick like hard. so sir try not to overload us just try to make it perfect. Else u know better.,5,5,5,5,5,5,5,0,1,0,0,0,0,1,4
316,There should be a little less work given to us because we need to concentrate on other subjects too,4,5,5,4,4,5,5,0,0,1,0,0,0,0,2
325,"delivery method is very good but a thing please take breath and then do it means that then continue class.
  some time I don't understand any thing but every thing is important for me.",5,5,4,4,3,5,4,0,0,0,0,0,0,1,3
372,sir is good.,3,5,4,4,5,4,0,1,1,1,1,1,1,1,4
373,Everything good,5,5,5,5,5,5,0,1,1,1,1,1,1,1,4
398,"teacher should give a brief lecture about the paper pattern because this was the same problem that I faced in last semester and this thing effected my grades, so I request the teacher to tell the class something about the paper pattern like how many questions would be there and the important topics in the book.",3,5,3,5,3,3,0,0,0,0,0,1,0,0,2
403,Instructor should be punctual. He often comes late in class. We admit that he has a genuine reason but something should be done regarding this.,5,5,5,5,5,5,0,1,0,0,0,0,0,0,1
410,He teaches us very fastly.,4,5,4,4,3,4,0,0,0,0,0,0,0,1,1
466,All is well.,5,5,5,5,5,0,0,1,1,1,1,1,1,1,4
478,Everything need to be improved.,3,1,1,2,2,1,2,1,1,1,1,1,1,1,1
508,She treats all the students equally.,4,4,4,4,4,4,4,0,0,0,0,0,0,1,4
509,Module should be related to daily life applications.,5,5,4,3,5,5,5,0,0,0,1,0,0,0,2
519,Just needs a little bit demonstration in the start.,5,4,4,4,4,5,4,0,1,0,0,0,0,1,4
529,There is nothing that needs to be improved but the thing is students should realize that the teacher is giving full efforts.,5,5,5,5,5,5,0,1,1,1,1,1,1,1,5
530,Everything is perfect in this module. Students need to realize the importance of this module.,5,5,5,5,5,5,0,1,1,1,1,1,1,1,5
537,"Overall, she is a good teacher but sometime. She did not listen our arguments.",5,4,5,5,4,3,0,0,0,0,0,0,0,1,4
538,she always try to push burden on class so I think it should not.,3,3,4,4,4,4,0,0,1,0,0,0,0,1,1
566,"Instructor should sometimes deliver the topic, which is hard to comprehend and understand, in details.",4,4,4,4,4,0,0,0,1,0,0,0,0,1,2
585,"Delivery method and instructor's focus on students who do not comprehend things easily. The teacher should also improve the delivery method, so that everybody understand and take interest in the lectures.",4,4,4,4,4,5,4,0,0,0,0,0,0,1,2
596,His way of delivering. His way of explaining is not effective.,4,4,4,3,4,4,4,0,0,0,0,0,0,1,2
608,their should a flavor of humor so that student may not fall asleep.,4,5,5,3,5,4,5,0,0,0,0,0,0,1,2
629,He is very good while helping us.,4,4,5,4,4,0,0,0,0,0,0,0,1,0,4
634,Everything is better but I look forward to more challenging and interesting problems in assignments that can enhance my skills.,5,4,4,5,4,0,0,0,0,0,1,0,0,1,4
647,The instructor needs to improve the way he delivers lecture,3,3,4,2,3,4,3,0,0,0,0,0,0,1,2
648,One thing he should improve is way of delivering knowledge.,5,5,3,4,4,3,3,0,0,0,0,0,0,1,2
668,In class we can not ask question from you because when we ask question from you then you saying that you are not reading book.,4,4,4,4,4,4,0,0,0,0,0,0,0,0,2
671,His attitude and seriousness should be improved. We are his students not slaves. There are other teachers too who are serious but they don't have any ego towards students. He works hard with us but just his ego and attitude is negative.,4,1,4,1,1,4,0,0,0,0,0,0,0,1,2
672,The instructor needs to make slides and give us proper course contents. The module is too much book oriented.,4,3,3,4,3,3,0,0,0,0,0,1,0,1,2
674,His teaching method and his behavior needs to be improved. His rules for the class are just like those in school.,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
676,He is a bit fast.,4,4,4,4,4,4,0,0,0,0,0,0,0,1,3
684,His attitude is good and his knowledge is excellent. We need some extra classes from him to get more from his experience and learn other things too.,4,5,5,5,5,5,0,0,1,1,1,0,0,1,5
687,Right now he is going fine and I have settled with his teaching method,3,5,4,5,4,5,0,0,0,0,0,0,0,1,3
693,Everything Sir taught remain unclear to me and will remain unclear till last breath,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
695,His knowledge regarding the course is good.,3,4,4,3,4,3,0,0,1,0,0,0,0,0,4
696,I like the module but the way he teaches reduces my interest in the module.,1,2,1,2,2,2,0,0,0,0,0,0,0,1,2
698,If he should remain to the point while addressing some concept then it will be great.,2,4,5,4,4,4,0,0,0,0,0,0,0,1,2
706,He engages with the students and motivates them.,5,4,5,4,4,0,0,0,0,1,0,0,0,1,4
707,"Sir should take interest in delivering labs, otherwise his knowledge is good",3,4,3,4,4,0,0,0,1,0,0,0,1,0,4
711,He needs to give more explanation of the topic while explaining. It feels like as if he himself doesn't know about the topic,3,3,3,3,3,0,0,0,1,0,0,0,0,1,2
714,"His grip on knowledge. I mean, he satisfy us with each and every problem we faced.",5,5,5,5,5,0,0,0,1,0,0,0,1,1,5
733,I like the instructor and his teaching method and behavior.,4,4,4,4,4,0,0,0,0,0,0,0,0,1,4
744,She is always in aggressive mode. We need to reduce your aggressiveness.,5,4,2,3,4,4,0,0,0,0,0,0,0,1,1
746,The things she is teaching are proving very helpful.,4,5,4,5,4,4,0,0,1,0,1,0,0,0,4
749,There is nothing in instructor that should be improved she is perfect according to my perspective but there is a lot in me and other students that should be improved. She had done a lot from her side....now its our turn to do something to make her happy and proud that we are her students.,5,5,5,5,5,5,0,1,1,1,1,1,1,1,5
750,She should not let the students to be free and to be rude with her. She should apply some strict policies in class. I mean she should keep the students in limits because too much love is destroying them.,5,5,5,5,5,5,0,0,0,0,0,0,0,1,3
752,I don't like any aspect of her,5,1,1,1,1,1,0,1,1,1,1,1,1,1,1
753,The environment of class should be GOOD. Instructor should not threaten students with attendance and their financial aid. She also should stick to the point while delivering the lecture and should not deviate from point.,5,4,4,4,5,4,0,0,0,1,0,0,0,1,1
754,The course content should be improved. It should include some interesting activities that can help us in building our confidence as well as professional skills not boring activities.,4,3,4,2,3,3,0,0,0,1,1,0,0,0,1
755,Just by being concise and by remaining to the point will help me a lot.,5,4,4,4,4,4,0,0,0,0,0,1,0,1,2
764,The instructor is mostly available whenever help is needed.,5,4,4,4,4,4,0,1,0,0,0,0,1,0,4
767,Maths is boring,1,5,3,3,3,4,0,0,0,1,0,0,0,0,1
772,She should prepare lecture completely before coming to lecture. She should watch lectures of topic which she is going to deliver. This will help her to improve more.,5,4,5,4,5,4,0,0,1,0,0,0,0,1,1
787,I think the instructor needs to change the delivery method. To use a bit more of slides and give individual attention to all students. To indulge the class more.,5,4,2,4,4,3,0,0,0,0,0,0,0,1,2
789,"I don't know, he should think about himself.",4,4,4,4,4,3,0,0,0,0,0,0,0,0,1
792,I had a good experience with him this time. He looks comfortable in a class with less students.,4,5,4,4,4,4,0,0,0,0,0,0,0,1,4
832,The Instructor is Awesome. Really motivating and really encouraging.,3,5,5,5,5,5,0,0,1,1,0,0,0,1,5
836,How he develops interest in the module is really amazing.,5,5,5,5,5,5,0,0,1,0,0,0,0,1,5
839,The discussions we do on nature and then relate it to the human aspects and the implementation of this core concept on electronics…,3,5,4,5,3,4,0,0,1,0,1,0,0,1,4
851,He is an excellent and brilliant teacher. May Allah Bless him.,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5
855,Cool Instructor.,5,5,5,5,5,5,5,0,0,0,0,0,0,0,4
859,He works really hard for us.. Prepares lecture with lot of hard work..,5,4,4,4,5,4,4,0,1,1,0,1,1,1,5
871,"sometimes, the lecture became too boring .",4,5,4,4,4,3,3,0,0,0,0,0,0,1,2
914,"A very kind man and always there to answer any of your questions..
 The man loves the subject he teaches..",4,5,5,4,4,5,5,0,1,1,0,0,0,1,5
926,today we wasted 40 mints just covering one thing. we repeated this just because of those student who were not present in last class..... why we are wasting our energy and resources and timing on those who are not even serious,4,4,4,4,4,4,0,0,0,0,0,0,0,1,2
933,A food for thought he gives us sometimes makes me realize how poor I am.,4,4,4,5,4,4,0,0,1,0,1,0,0,1,4
947,Not getting the actual concepts but only the hands-on practice,5,4,4,4,4,0,0,0,0,0,1,0,0,1,2
962,Comes to class rarely .,2,4,3,3,2,2,3,1,0,0,0,0,0,0,1
975,Everyday Parties/treat should be finished please,3,4,2,3,4,3,3,0,0,0,0,1,0,1,1
985,Some practical illustration and video lectures should be included,3,4,4,4,4,3,4,0,0,0,1,0,0,1,3
986,"Sir should clear his concepts before delivering lecture.
 He should be serious during lecture.",2,1,3,3,3,3,2,0,1,0,0,0,0,1,1
998,Very good instructor,5,5,5,5,5,0,0,1,1,1,1,1,1,1,4
1004,He needs TAs in the lab because he is unable to solve the problems of students in short time.,5,5,5,5,5,0,0,0,0,0,0,0,1,0,1
1006,Tries his best,4,3,3,4,3,0,0,0,0,0,0,0,0,1,4
1007,He has a friendly and energetic personality,4,3,3,4,4,0,0,0,0,0,0,0,0,0,4
1026,There are  many problems in the lectures. The teacher should properly prepare the lecture before the class session.,3,3,3,3,4,3,0,0,0,0,0,0,0,1,2
1039,Please try to teach at the student level,4,3,3,3,3,3,0,0,0,0,0,0,0,1,2
1060,"He is ready to help students at any time, friendly attitude attracts students to share their problem with him.",4,4,4,2,4,4,0,0,0,0,0,0,1,1,5
1083,The lecture notes should be provided and complex problems of a topic should be solved during class.,4,4,3,4,4,4,3,0,0,0,1,0,0,0,2
1084,"We are not taught the complete content of slides, which will come in our exam and tests. In other words, things are overlooked!!!",4,4,3,4,2,4,4,0,0,0,0,1,0,0,2
1098,His concepts are too difficult to understand,5,5,5,5,5,3,4,0,0,0,0,0,0,1,2
1102,"He doesn't bother about the content of slides, and in explaining the topic he often goes away from the main topic.",3,4,4,3,3,4,5,0,0,0,0,1,0,1,3
1118,The instructor should teach with a faster speed so that we may not be overburdened at the end of semester.,4,4,4,4,4,4,4,0,0,0,0,1,0,1,3
1119,sir is always too serious during lecture,3,4,4,3,5,3,4,0,0,0,0,0,0,1,3
1121,We are not following the standard contents!!!,3,4,4,4,1,3,3,0,0,0,0,1,0,0,2
1137,The instructor should listen to the problems of all students.,4,4,4,4,4,0,0,0,0,0,0,0,0,0,2
1138,"Lab topics are fully prepared by the instructor before the lab.
 Excellent explanation in the form of lecture is given to us before performing each lab.",4,4,4,2,4,0,0,0,0,0,0,0,1,1,5
1139,everything is ok.,5,5,5,5,5,0,0,1,1,1,1,1,1,1,4
1147,I like all the aspects of this module and I Like this module very much.... And I am getting very Good at it ;),5,5,5,5,5,5,0,1,1,1,1,1,1,1,5
1151,He should be with us in the second semester.,5,5,5,5,5,5,0,0,0,0,0,0,0,1,5
1152,He is teaching us alright and no improvement is required.,5,5,5,5,5,5,0,0,0,0,0,0,0,1,4
1154,I can't think of anything I dislike about him.,5,5,5,4,5,4,0,1,1,1,1,1,1,1,4
1171,I learnt some very important things that I wasn't aware of previously.,5,5,5,5,5,5,0,0,1,0,0,0,0,0,5
1174,I wish he was available for more time on campus.,3,5,5,5,5,4,0,1,0,0,0,0,0,0,4
1179,The lecture is so long that after 1 hour I feel lazy. There must be a break of 5 Minute.,4,4,5,4,4,4,0,0,0,0,0,0,0,1,2
1180,He explains each and every thing.,5,5,4,5,5,5,0,0,0,0,0,0,0,1,4
1194,She is ok and is always there to help.,5,5,4,5,5,5,4,0,0,0,0,0,1,0,4
1197,Her grip on subject is excellent.,5,5,5,4,4,4,5,0,1,0,0,0,0,0,5
1199,The knowledge of Instructor is good.,4,4,4,3,4,4,4,0,1,0,0,0,0,0,4
1200,She should provide us with lecture slides.,5,5,4,5,5,4,5,0,0,0,0,0,0,0,3
1214,He is intelligent,4,5,5,5,4,0,0,0,1,0,0,0,0,0,4
1220,I can't remember disliking anything about the instructor.,5,5,4,5,4,0,0,1,1,1,1,1,1,1,5
1235,"I like the instructor's availability all the time. Willing to help, courteous, caring and mindful of students.",5,3,4,3,5,4,0,1,0,0,0,0,0,1,4
1239,I think so everything is going fine.,4,4,4,4,4,4,0,1,1,1,1,1,1,1,4
1250,delivery method is very boring,4,4,3,3,4,4,3,0,0,0,0,0,0,1,2
1253,"Teacher is good, course should be changed",5,5,4,4,4,2,4,0,0,0,0,0,0,1,2
1254,he needs experience and some more dedication... he need to mould his methods according to class requirements,3,3,2,3,2,3,0,0,1,0,0,0,0,1,2
1255,Nice attitude,3,3,3,3,3,2,3,0,0,0,0,0,0,0,4
1257,He has good knowledge. That is it !!!,3,4,1,2,3,1,2,0,1,0,0,0,0,0,2
1258,Instructor has grip and the module has voracious applications in industry.,5,5,4,4,5,3,0,0,1,0,1,0,0,0,4
1261,The instructor was not interesting in the subject. The instructor did not try to attract the students attention,2,2,2,2,3,2,1,0,0,1,0,0,0,1,1
1284,Instructor should work hard on learning how to deliver the lecture,5,4,3,3,3,4,3,0,0,0,0,0,0,1,1
1286,I like every things about teacher and module,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5
1287,The instructor should behave logically and intuitively. She always behaves as if she is a teacher in any Convent school. The grip over subject is also shaky.,5,4,4,4,5,3,0,0,1,1,0,0,0,1,1
1288,She doesn't have the ability to integrate contents of the module with practical problems / other courses. Things need to be improved.,5,4,4,4,5,4,4,0,0,0,1,0,0,0,1
1311,"He is very cooperative, has sound knowledge and good problem solving skills.",4,4,4,4,4,0,0,0,1,0,1,0,0,1,4
1329,everything is excellent,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5
1331,Instructor should conduct a few numerical solving tutorials apart from the standard lectures.,4,5,5,5,4,5,4,0,0,0,0,0,0,1,2
1333,The instructor is as sound in his subject as his health. :),5,5,5,5,5,4,0,0,1,0,0,0,0,0,3
1339,He is a permanent faculty member here but still appears as visiting. He stays here for maximum 3.5 days and then disappears!!!,3,5,5,4,4,4,5,1,0,0,0,0,0,0,1
1342,He is a bit irregular.,3,5,5,5,4,5,5,1,0,0,0,0,0,1,2
1343,Teaching speed should be slow,4,5,5,5,5,5,4,0,0,0,0,0,0,1,2
1358,The instructor is hard working.,5,4,4,4,5,4,0,0,0,0,0,0,0,0,4
1360,I very much like teacher and module,5,5,5,5,5,5,0,0,0,0,0,0,0,1,4
1364,"She has sound knowledge and good interaction with all students. She is a person who actually know, ""How to teach others.""",4,5,4,5,4,4,0,0,1,0,0,0,0,1,5
1389,Apart from the theoretical approach of delivering the lectures Instructor should adhere to delivering the lecture according to what is going to be asked in the exams as well.,4,4,3,4,3,3,4,0,0,0,0,1,0,0,2
1394,time line for the course should be better planed,5,5,5,5,4,5,5,0,0,0,0,1,0,0,2
1409,"Instructor is Interactive, Supportive and very friendly.",5,5,4,4,5,4,0,0,0,0,0,0,1,1,5
1424,he is a talented teacher having complete grip on his subject,2,5,4,4,4,4,0,0,1,0,0,0,0,1,5
1425,Reading Material should be provided a week ago before the session so that we may thoroughly go through it otherwise every aspect is brilliant at instructor's end.,4,5,5,5,5,5,0,0,1,1,0,1,0,1,4
1427,slides should be in easy English wording,5,5,5,4,5,4,0,0,0,0,0,0,0,0,3
1429,The reading materials given by the instructor are quite difficult and are beyond our scope. It should be better for us if he provide us some sort of easy vocabulary material.,5,5,5,5,5,5,0,0,0,0,0,0,0,1,2
1431,time should be increased. extra classes should be held,3,5,5,4,4,5,0,0,0,0,0,0,0,0,4
1444,Lectures should be more interactive and illustrious.,4,5,4,4,5,5,4,0,0,0,0,0,0,1,3
1464,We have a very co-operative atmosphere among students,4,2,2,3,1,0,0,0,0,0,0,0,0,1,4
1479,She is always available for any queries that need to be solved and she is very cooperative.,5,4,5,4,4,4,0,1,0,0,0,0,0,1,5
1493,her way of explanation and class is less interesting but more knowledgeable,4,5,4,3,5,5,0,0,1,0,0,0,0,1,2
1496,In each class we leave 15 minutes late,5,5,5,4,5,5,0,0,0,0,0,0,0,0,2
1500,I think that the exam should be based on what we have studied in the class. There should be nothing extra.,4,5,3,4,3,4,0,0,0,1,0,1,0,0,2
1503,The teaching method is too good but we got bored very often because it is a language class so I suggest that there should be some entertaining activity.,4,5,5,5,5,5,0,0,0,1,0,0,0,1,4
1506,I like the overall atmosphere of the class which the instructor has made. Those who really want to learn and improve are learning quite rapidly,3,4,4,3,5,4,0,0,0,1,0,0,0,1,5
1507,Her method of teaching is very nice,5,5,5,5,5,5,0,0,0,0,0,0,0,1,4
1519,Course is interesting as well as teacher,3,4,4,4,4,4,0,0,1,1,0,0,0,1,4
1520,"there should be more than 1 credit hour of this module, it is really mind provoking one",4,5,5,5,4,5,0,1,1,1,1,1,1,1,5
1527,He should improve his time management skill.,3,5,4,4,4,4,0,0,0,0,0,0,0,0,3
1532,"if sir also explain in Urdu then it will be good, because our English is not so strong that we understand full lecture",1,5,3,3,4,4,0,0,0,0,0,0,0,1,4
1534,there should be more lectures,3,5,4,2,5,4,0,0,0,0,0,0,0,0,4
1545,"What ever you ask concerning the course or may out of it, you'll surely get the answer!!",5,5,4,4,4,4,5,0,1,0,0,0,0,1,5
1547,there should be a bit of softness in her behavior,5,5,5,3,5,5,5,0,0,0,0,0,0,0,2
1548,Please give more time to the things that are difficult for students to do.,5,5,5,4,4,5,4,0,1,0,0,0,0,1,2
1551,"Teaching method should be improved because she gives special attention to brilliant students, this way brilliant students become even better in studies while weak students remain weak.",2,3,4,4,3,2,1,0,0,0,0,0,0,1,2
1554,She knows a lot about her subject.,3,4,2,3,3,3,2,0,1,0,0,0,0,0,4
1555,every thing is perfect .,4,5,3,4,4,4,5,1,1,1,1,1,1,1,5
1599,"she makes things really simple, and also teaches the easiest way to solve the problems rather than the quickest ones!!",5,5,4,4,5,4,0,0,1,0,0,0,0,1,4
1600,There should be more tutorials,5,5,4,3,5,4,0,0,0,0,0,0,0,0,4
1604,She should study the topic a bit before giving the lecture.,5,3,3,3,4,4,0,0,1,0,0,0,0,1,1
1609,she should improve class discipline .,5,4,4,2,4,2,0,0,0,0,0,0,0,0,3
1610,taught the course in simple way,4,4,3,4,3,4,0,0,1,0,0,0,0,1,4
1611,She tries to do her best and she always has a positive attitude with the entire class.,5,4,4,4,5,5,0,0,1,0,0,0,0,1,5
1636,I like all aspects of this module.,5,5,5,5,5,5,0,1,1,1,1,1,1,1,4
1686,She is rude and when I ask question on email she doesn't reply. I don't agree with her method of teaching.,2,4,4,2,3,3,1,0,0,0,0,0,0,1,1
1688,I like nothing related to the teacher but I like the subject.,4,4,2,2,4,2,2,0,1,1,1,0,1,1,3
1695,YOU should delete this module or expel this teacher,1,2,1,5,1,1,1,1,1,1,1,1,1,1,1
1699,She is intelligent and easily figures out the problems the students are having.,4,5,4,4,4,4,0,0,0,0,0,0,1,1,4
1711,Pays attention to each and every student.,5,3,3,5,3,0,0,0,0,0,0,0,0,1,4
1728,bullshit,1,5,1,1,1,0,0,1,1,1,1,1,1,1,1
1753,I like her method of teaching but her selection of content is not good as she teaches the easy topics and leaves the difficult ones because of poor grip on the subject.,4,2,2,2,4,4,0,0,1,0,0,0,0,0,2
1755,She is more soft in her behavior because of which students take advantage and do not work hard.,5,4,5,5,5,5,0,0,0,0,0,0,0,1,4
1756,There is nothing to be improved because all is well.,4,4,4,5,4,4,0,1,1,1,1,1,1,1,5
1758,BORING Subject,5,4,2,4,2,5,0,0,0,1,0,0,0,0,2
1776,He teaches frankly in class.,1,5,4,4,5,5,0,0,0,0,0,0,0,1,4
1876,he can generate a great interest in the module by giving us some more interesting examples.,2,4,4,3,3,3,0,0,0,0,1,0,0,1,4
1895,"course outline is not well defined, what we have covered and what we are going to is not in our knowledge.",5,5,4,5,5,5,4,0,0,0,0,1,0,0,2
1917,Sir has helped us build a solid foundation.,5,5,5,5,5,5,5,0,1,1,0,0,0,1,5
1920,He should also look at the students who are lagging behind,4,5,4,4,4,4,4,0,0,0,0,0,0,1,2
1958,"Teaches like foreign teachers, very cooperative and helpful.",5,4,5,3,4,4,4,0,1,0,0,0,0,1,5
1962,"Lecture slides and notes should be given to the students for further study instead of only delivering lecture on whiteboard, in this way we can remember the lecture for longer duration",4,4,3,2,4,2,3,0,0,0,0,0,0,1,2
1966,He has good grasp of subject and I am able to understand his logic.,4,4,4,4,4,3,4,0,1,0,0,0,0,1,4
1970,The instructor repeats a single topic again and again till all the students get proper understanding.,5,4,4,4,5,4,4,0,0,0,0,0,0,1,4
2014,He gives good lectures and is able to make me understand the logic.,4,4,3,4,4,0,0,0,1,1,0,0,0,1,4
2016,I also mentioned in the previous evaluation that he should give brief introduction to the experiment to be done,3,4,4,3,4,0,0,0,0,0,0,0,1,0,3
2018,Sir should give equal time to all groups during labs,3,3,3,4,4,0,0,0,0,0,0,0,1,0,2
2019,He should help the students in projects. There is no cooperation in projects from him.,4,3,3,3,3,3,3,0,0,0,0,0,1,0,2
2020,Some time must be given to clear the lab problems,4,4,2,3,3,0,3,0,0,0,0,0,1,0,2
2021,The instructor does not visit each student during the labs.,5,4,3,4,4,0,0,0,0,0,0,0,1,0,2
2024,"Lab's equipment is short, we face a lot of trouble during our labs. Sometimes, for PCB layout we have to go to cafe to bring hot water, only one iron is available for pressing PCB. Drilling machines are only three which have no new belts for drilling. For God's sake, do something for the engineering students, provide them with equipment. We complain each time, fill these forms but no positive change has been seen ever. There is no use of such assessments. Thank you!",5,4,4,4,4,0,0,0,0,0,0,0,1,0,1
2050,The instructor treats equally all the students and guides them properly.,4,4,4,4,5,4,0,0,0,0,0,0,0,1,5
2051,Tries to answer questions. He is honest and dedicated.,4,2,4,4,4,4,0,0,0,0,0,0,0,1,4
2104,Sir should fix time for our class. He should be polite.,1,5,5,5,4,5,0,0,0,0,0,0,0,1,1
2122,"Lecture notes, slides and books should be given with lecture",2,4,3,2,3,3,0,0,0,0,0,1,0,0,2
2131,Lectures should be delivered through slides.,3,3,5,3,5,4,0,0,0,0,0,0,0,1,2
2159,sir should revise some topics before starting new semester.,4,5,4,3,4,4,4,0,0,0,0,0,0,0,3
2178,His behavior is very nice,4,4,4,4,4,0,0,0,0,0,0,0,0,1,4
2181,EVERYTHING IS OK,5,5,5,5,5,0,0,1,1,1,1,1,1,1,4
2183,The instructor is very cooperative and visits each and every student during lab session.,5,5,5,5,5,0,5,0,0,0,0,0,1,0,4
2202,Sir must be available in campus when project is assigned in order to explain to us about the problems which we are encountering during that project.,2,5,5,5,4,5,4,1,0,0,0,0,0,0,2
2207,the main thing I liked is his advises and giving us courage to do some extra work.,3,5,4,5,5,4,0,0,0,0,0,0,0,1,4
2211,Long sessions result in loss of interest,3,3,3,3,2,4,2,0,0,0,0,0,0,1,2
2226,Knowledge should be improved.,4,3,3,3,4,0,0,0,1,0,0,0,0,0,2
2232,"Lecture should start from the start, we are usually confused during lecture/lab that what is the point he is talking about.",5,2,3,3,3,0,0,0,0,0,0,1,0,1,2
2244,"Instructor's behavior is good, and he is very hard working.",4,5,4,3,4,5,4,0,0,0,0,0,0,1,4
2250,Some practical work that has been done in AI should be shown to students so that we may know the application of AI in our life.,5,4,3,4,4,5,4,0,0,0,1,0,0,0,2
2251,"sir is the great, but still needs more and more hard work.",5,5,1,4,4,5,5,0,0,0,0,0,0,0,4
2260,Sir is very cooperative and helpful. He always tries to give everything to make us understand.,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5
2264,Lecture should be interesting.,4,5,3,3,5,5,0,0,0,1,0,0,0,1,2
2267,Good delivering method. Good behavior with all students. No favoritism,5,5,5,4,5,5,5,0,0,0,0,0,0,1,4
2287,Module is very interesting especially the protocols and its working.,5,5,5,5,5,5,0,0,0,1,0,0,0,0,4
2320,Must be punctual,5,5,4,5,5,4,5,0,0,0,0,0,0,0,1
2379,"He should convey all the basic points required for a certain task once before assigning the task, instead of interrupting and disturbing flow by announcing new decisions during tasks.",3,4,3,3,3,3,0,0,0,0,0,0,1,0,2
2391,If students are facing problems then he should try to solve the problems of students.,4,3,4,5,4,0,0,0,0,0,0,0,0,1,2
2392,Generating Interest and communication skills with student during teaching need to be improved.,5,3,2,2,2,0,0,0,0,0,0,0,0,1,2
